NAICS,Industry,Establishments,Employment,Annual_Payroll_1000s,Level,Healthcare_Related
00,Total for all sectors,121,1395,60199,2-digit sector,
21,"Mining, quarrying, and oil and gas extraction",3,47,2929,2-digit sector,
212,Mining (except oil and gas),3,47,2929,2-digit sector,
2123,Nonmetallic mineral mining and quarrying,3,47,2929,2-digit sector,
21232,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying",3,47,2929,2-digit sector,
212321,Construction sand and gravel mining,3,47,2929,2-digit sector,
23,Construction,12,93,4497,2-digit sector,
236,Construction of buildings,5,4,213,2-digit sector,
2361,Residential building construction,3,1,52,2-digit sector,
23611,Residential building construction,3,1,52,2-digit sector,
238,Specialty trade contractors,5,58,2574,2-digit sector,
2382,Building equipment contractors,4,57,2541,2-digit sector,
23822,"Plumbing, heating, and air-conditioning contractors",4,57,2541,2-digit sector,
238220,"Plumbing, heating, and air-conditioning contractors",4,57,2541,2-digit sector,
44-45,Retail trade,21,213,4843,2-digit sector,Yes
445,Food and beverage stores,5,61,901,2-digit sector,
4451,Grocery stores,5,61,901,2-digit sector,
44511,Supermarkets and other grocery (except convenience) stores,3,49,789,2-digit sector,
445110,Supermarkets and other grocery (except convenience) stores,3,49,789,2-digit sector,
447,Gasoline stations,8,89,2434,2-digit sector,
4471,Gasoline stations,8,89,2434,2-digit sector,
44711,Gasoline stations with convenience stores,5,33,1516,2-digit sector,
447110,Gasoline stations with convenience stores,5,33,1516,2-digit sector,
44719,Other gasoline stations,3,56,918,2-digit sector,
447190,Other gasoline stations,3,56,918,2-digit sector,
452,General merchandise stores,5,30,701,2-digit sector,
4523,"General merchandise stores, including warehouse clubs and supercenters",5,30,701,2-digit sector,
45231,"General merchandise stores, including warehouse clubs and supercenters",5,30,701,2-digit sector,
452319,All other general merchandise stores,5,30,701,2-digit sector,
48-49,Transportation and warehousing,10,33,1858,2-digit sector,Yes
484,Truck transportation,7,16,608,2-digit sector,
4842,Specialized freight trucking,5,8,258,2-digit sector,
48422,"Specialized freight (except used goods) trucking, local",4,8,221,2-digit sector,
484220,"Specialized freight (except used goods) trucking, local",4,8,221,2-digit sector,
486,Pipeline transportation,3,17,1250,2-digit sector,
4862,Pipeline transportation of natural gas,3,17,1250,2-digit sector,
48621,Pipeline transportation of natural gas,3,17,1250,2-digit sector,
486210,Pipeline transportation of natural gas,3,17,1250,2-digit sector,
52,Finance and insurance,7,22,857,2-digit sector,
522,Credit intermediation and related activities,5,21,804,2-digit sector,
5221,Depository credit intermediation,4,20,738,2-digit sector,
52211,Commercial banking,3,18,675,2-digit sector,
522110,Commercial banking,3,18,675,2-digit sector,
54,"Professional, scientific, and technical services",10,19,984,2-digit sector,
541,"Professional, scientific, and technical services",10,19,984,2-digit sector,
5411,Legal services,3,5,359,2-digit sector,
54111,Offices of lawyers,3,5,359,2-digit sector,
541110,Offices of lawyers,3,5,359,2-digit sector,
61,Educational services,3,17,371,2-digit sector,
611,Educational services,3,17,371,2-digit sector,
